filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
5156.txt, 12, 12.0,12.0,12.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48015.txt, 89, 11.125,11.125,9.88888888889,1.125,1.25,1.125,0.111111111111,0.125,1.0,0.125,0.125,0.111111111111,1.5,1.33333333333
31751.txt, 219, 10.95,10.95,9.125,1.2,1.5,1.2,0.125,0.15,1.0,0.1,0.35,0.291666666667,1.25,1.04166666667
38877.txt, 9, 9.0,9.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
12141.txt, 522, 17.4,14.1081081081,7.05405405405,2.46666666667,2.56756756757,2.0,0.472972972973,0.945945945946,1.23333333333,0.72972972973,0.27027027027,0.135135135135,1.18918918919,0.594594594595
2899.txt, 155, 11.9230769231,10.3333333333,8.15789473684,1.46153846154,1.46666666667,1.26666666667,0.157894736842,0.2,1.15384615385,0.2,0.2,0.157894736842,0.666666666667,0.526315789474
25141.txt, 7, 7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
6469.txt, 174, 13.3846153846,12.4285714286,6.44444444444,2.07692307692,2.28571428571,1.92857142857,0.481481481481,0.928571428571,1.07692307692,0.714285714286,0.0714285714286,0.037037037037,1.28571428571,0.666666666667
16428.txt, 8, 8.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
34732.txt, 30, 30.0,30.0,10.0,3.0,3.0,3.0,0.333333333333,1.0,1.0,1.0,0.0,0.0,2.0,0.666666666667
2745.txt, 427, 16.4230769231,15.25,10.675,1.53846153846,2.03571428571,1.42857142857,0.325,0.464285714286,1.07692307692,0.321428571429,0.5,0.35,1.53571428571,1.075
6501.txt, 53, 26.5,17.6666666667,7.57142857143,3.5,3.0,2.33333333333,0.571428571429,1.33333333333,1.5,1.0,0.0,0.0,2.33333333333,1.0
20777.txt, 177, 17.7,14.75,14.75,1.2,1.33333333333,1.0,0.0833333333333,0.0833333333333,1.2,0.0833333333333,0.416666666667,0.416666666667,1.66666666667,1.66666666667
7173.txt, 6, 6.0,6.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
12714.txt, 12, 12.0,12.0,4.0,3.0,3.0,3.0,0.666666666667,2.0,1.0,1.0,0.0,0.0,2.0,0.666666666667
37448.txt, 1, 1.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
21892.txt, 10, 10.0,10.0,5.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,2.0,1.0
30600.txt, 18, 18.0,18.0,18.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
14056.txt, 27, 13.5,13.5,6.75,2.0,2.5,2.0,0.5,1.0,1.0,0.5,0.5,0.25,2.5,1.25
34454.txt, 182, 16.5454545455,14.0,8.27272727273,2.0,1.92307692308,1.69230769231,0.272727272727,0.461538461538,1.18181818182,0.384615384615,0.230769230769,0.136363636364,2.07692307692,1.22727272727
7205.txt, 6, 6.0,6.0,3.0,2.0,2.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,2.0,1.0
27457.txt, 4, 2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5
289.txt, 90, 90.0,22.5,8.18181818182,11.0,3.0,2.75,0.636363636364,1.75,4.0,0.75,0.25,0.0909090909091,3.5,1.27272727273
11718.txt, 998, 22.6818181818,24.3414634146,12.475,1.81818181818,3.31707317073,1.9512195122,0.475,0.926829268293,0.931818181818,0.585365853659,0.829268292683,0.425,2.68292682927,1.375
26025.txt, 465, 20.2173913043,18.6,11.9230769231,1.69565217391,1.68,1.56,0.358974358974,0.56,1.08695652174,0.48,0.48,0.307692307692,2.56,1.64102564103
48363.txt, 91, 13.0,13.0,9.1,1.42857142857,2.0,1.42857142857,0.3,0.428571428571,1.0,0.428571428571,0.428571428571,0.3,1.14285714286,0.8
16063.txt, 44, 22.0,22.0,8.8,2.5,3.0,2.5,0.6,1.5,1.0,1.0,0.5,0.2,4.5,1.8
3604.txt, 163, 9.58823529412,8.57894736842,7.7619047619,1.23529411765,1.36842105263,1.10526315789,0.047619047619,0.0526315789474,1.11764705882,0.0526315789474,0.0526315789474,0.047619047619,0.684210526316,0.619047619048
7528.txt, 10, 10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
24178.txt, 7, 7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
20254.txt, 27, 13.5,9.0,9.0,1.5,0.666666666667,1.0,0.0,0.0,1.5,0.0,0.0,0.0,1.66666666667,1.66666666667
15271.txt, 113, 11.3,9.41666666667,8.07142857143,1.4,1.58333333333,1.16666666667,0.142857142857,0.166666666667,1.2,0.166666666667,0.0833333333333,0.0714285714286,0.583333333333,0.5
21626.txt, 67, 33.5,22.3333333333,9.57142857143,3.5,3.0,2.33333333333,0.428571428571,1.0,1.5,0.666666666667,0.333333333333,0.142857142857,2.33333333333,1.0
10457.txt, 2, 2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44282.txt, 19, 6.33333333333,9.5,4.75,1.33333333333,3.0,2.0,0.5,1.0,0.666666666667,1.0,0.0,0.0,0.5,0.25
24168.txt, 10, 10.0,10.0,10.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
16073.txt, 62, 15.5,15.5,12.4,1.25,1.5,1.25,0.0,0.0,1.0,0.0,0.5,0.4,2.0,1.6
48373.txt, 187, 10.3888888889,9.35,5.84375,1.77777777778,1.85,1.6,0.34375,0.55,1.11111111111,0.55,0.05,0.03125,0.65,0.40625
33257.txt, 34, 17.0,17.0,11.3333333333,1.5,2.0,1.5,0.333333333333,0.5,1.0,0.5,0.0,0.0,1.0,0.666666666667
21636.txt, 22, 7.33333333333,7.33333333333,7.33333333333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.66666666667,1.66666666667
24010.txt, 11, 11.0,11.0,5.5,2.0,3.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,2.0,1.0
10447.txt, 3, 3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1895.txt, 168, 21.0,16.8,7.63636363636,2.75,2.3,2.2,0.409090909091,0.9,1.25,0.7,0.9,0.409090909091,1.4,0.636363636364
